City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,72.28,clear sky,-23.1203,-134.9692,People ThankYou
7,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
12,Ust-Nera,RU,73.27,overcast clouds,64.5667,143.2,Hotel Ust-Nera
24,Vaitape,PF,78.75,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
25,Butaritari,KI,83.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
26,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
27,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
43,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
44,Faanui,PF,78.76,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Hilo,US,83.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Salalah,OM,77.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
54,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
55,Guerrero Negro,MX,82.71,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
58,Fomboni,KM,76.55,clear sky,-12.28,43.7425,Auberge les abou
59,Dingle,PH,80.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Hithadhoo,MV,81.07,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Avarua,CK,75.25,haze,-21.2078,-159.775,Paradise Inn
65,Bonthe,SL,75.96,moderate rain,7.5264,-12.505,Bonthe Holiday Village
68,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
69,Lompoc,US,78.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
81,Toccoa,US,78.31,light rain,34.5773,-83.3324,Quality Inn
82,Balaguer,ES,87.26,light rain,41.7912,0.8109,Hotel Balaguer
83,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Iracoubo,GF,77.16,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
86,Impfondo,CG,73.76,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
87,Cockburn Town,TC,82.89,clear sky,21.4612,-71.1419,Osprey Beach Hotel
89,Honiara,SB,79.18,moderate rain,-9.4333,159.95,Heritage Park Hotel
90,Tura,IN,74.89,light rain,25.5198,90.2201,Hotel RIKMAN Continental
91,Sorong,ID,80.17,broken clouds,-0.8833,131.25,waigo splash hotel
92,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
94,Meulaboh,ID,76.89,moderate rain,4.1363,96.1285,Kost Pria
98,Biak,ID,79.27,broken clouds,-0.9131,122.8766,Penginapan Kim
102,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
106,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
110,Toyooka,JP,75.31,moderate rain,35.5333,134.8333,O Hotel Toyooka
111,Shimoda,JP,77.36,light rain,34.6667,138.95,Shimoda Tokyu Hotel
119,Atuona,PF,77.74,scattered clouds,-9.8,-139.0333,Villa Enata
123,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
125,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
127,Labrea,BR,86.36,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
128,Kavieng,PG,84.52,light rain,-2.5744,150.7967,Nusa Island Retreat
130,Fethiye,TR,85.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
134,Broome,US,84.58,clear sky,42.2506,-75.833,Chenango Valley State Park
135,Srandakan,ID,75.27,few clouds,-7.9386,110.2506,Puri Brata
136,Shelburne,CA,80.04,moderate rain,44.0787,-80.2041,The Retreat at the Farm
138,Japura,ID,75.09,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
144,Xiongzhou,CN,82.06,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
145,Cabedelo,BR,74.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
148,Dunmore Town,BS,83.98,clear sky,25.5,-76.65,Coral Sands Hotel
150,Marshall,US,80.38,broken clouds,34.3834,-86.3333,Riverview Campground
153,Ribeira Grande,PT,72.88,few clouds,38.5167,-28.7,Quinta da Meia Eira
154,Nagua,DO,77.05,broken clouds,19.3832,-69.8474,Hotel Cambri
159,Wanning,CN,83.57,overcast clouds,18.8003,110.3967,Paradise Hotel
162,Koupela,BF,72.3,scattered clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
163,Findlay,US,76.78,clear sky,41.0442,-83.6499,Drury Inn & Suites Findlay
164,Sohag,EG,84.49,clear sky,26.557,31.6948,Civil Registry - Sohag 1
166,Jaca,ES,73.02,light rain,42.568999999999996,-0.5499,Hotel Real Jaca & Spa
171,Hambantota,LK,78.48,overcast clouds,6.1241,81.1185,Bungalow 63
173,Kirakira,SB,80.44,overcast clouds,-10.4544,161.9205,SanBiz Lodge
176,Miraflores,MX,75.96,broken clouds,19.2167,-98.8083,Hotel Mansión
185,Nakhon Phanom,TH,75.61,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
189,Acapulco,MX,82.74,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,Saint Anthony,US,82.92,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
197,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
201,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
202,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
215,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
218,Alberton,CA,75.33,overcast clouds,46.8168,-64.0654,La Petite France B&B
219,Mulatupo,PA,78.85,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
220,Kihei,US,87.82,scattered clouds,20.785,-156.4656,Maui Sunset
221,Moog,PH,80.31,broken clouds,8.6011,124.4658,"Pantalan, moog, laguindingan, misamis oriental"
233,Namatanai,PG,84.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
236,Kinchil,MX,77.07,broken clouds,20.9167,-89.95,Club de nutricion herbalife kinchil
237,Costinesti,RO,73.02,clear sky,43.95,28.6333,Villa Mar Bella
239,Pringsewu,ID,73.94,scattered clouds,-5.3582,104.9744,Urban Style by Front One
240,Neiafu,TO,74.08,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
241,Brentwood,US,85.75,broken clouds,40.7812,-73.2462,"Holiday Inn Express Hauppauge-Long Island, an IHG Hotel"
242,Jaypur,IN,73.62,overcast clouds,18.85,82.5833,Hotel Hello Jeypore
244,Rincon,US,87.76,few clouds,32.296,-81.2354,Days Inn Rincon
247,Bintulu,MY,77.41,light rain,3.1667,113.0333,900 Boutique INN
248,Hami,CN,78.69,clear sky,42.8,93.45,Laoyutang Resort
254,Horta,PT,72.01,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
255,Padang,ID,75.99,overcast clouds,-0.9492,100.3543,Mercure Padang
257,Eyl,SO,75.88,scattered clouds,7.9803,49.8164,Amiin Hotel
258,Shihezi,CN,75.74,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
259,Atambua,ID,78.85,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
264,Porto San Giorgio,IT,79.86,clear sky,43.1827,13.7934,David Palace Hotel
266,Rock Sound,BS,83.89,clear sky,24.9,-76.2,Rock Sound Club
269,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
270,Marsh Harbour,BS,83.61,broken clouds,26.5412,-77.0636,Abaco Beach Resort
271,Oneonta,US,81.46,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
273,Russell,US,86.95,moderate rain,32.3502,-85.1999,Macs
274,Bandarbeyla,SO,75.69,broken clouds,9.4942,50.8122,JABIR HOTEL
275,Yenagoa,NG,73.81,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
276,Bethel,US,84.29,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
277,Kaspiyskiy,RU,80.73,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
278,Port Moresby,PG,81.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
284,Korla,CN,77.14,clear sky,41.7597,86.1469,Gulisitan Hotel
292,Fort-Shevchenko,KZ,87.13,broken clouds,44.5086,50.263000000000005,Oasis hotel Bautino
300,Abonnema,NG,75.52,light rain,4.7084,6.7931,Corper's Lodge Obonoma
301,Dicabisagan,PH,79.83,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
302,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
306,Crystal Beach,CA,82.71,overcast clouds,42.8699,-79.0583,Yellow Door Bed and Breakfast
313,Sant Feliu De Guixols,ES,80.98,overcast clouds,41.7833,3.0333,Eden Roc Mediterranean Hotel & Spa
314,Clemencia,CO,81.77,overcast clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
315,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
316,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
319,Mapiripan,CO,75.31,light rain,2.8892,-72.1256,Monserrate
324,Katherine,AU,75.52,clear sky,-14.4667,132.2667,Pine Tree Motel
326,Jacareacanga,BR,83.8,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
334,Kutum,SD,73.04,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
335,Johor Bahru,MY,82.31,broken clouds,1.4655,103.7578,New York Hotel
336,Swift Current,CA,76.01,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
339,Palmer,US,85.1,broken clouds,42.1584,-72.3287,Wedgewood Motel
340,Sao Filipe,CV,75.29,scattered clouds,14.8961,-24.4956,Hotel Xaguate
341,Lang Son,VN,79.74,overcast clouds,21.8333,106.7333,Khai Nga Hotel
344,Nabire,ID,78.24,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
345,Dingzhou,CN,73.51,overcast clouds,38.5131,114.9956,宜家时尚宾馆
348,Surt,LY,83.19,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
349,Luang Prabang,LA,75.36,overcast clouds,19.8856,102.1347,Villa Oasis
354,Tarauaca,BR,84.72,broken clouds,-8.1614,-70.7656,Flat Temporada
366,Cloquet,US,80.67,clear sky,46.7216,-92.4594,Super 8 by Wyndham Cloquet
367,Mahibadhoo,MV,83.07,overcast clouds,3.7833,72.9667,Omadhoo Inn
371,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
373,Hirado,JP,79.95,heavy intensity rain,33.3597,129.5531,Samson Hotel
375,Balabac,PH,84.6,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
377,Dabola,GN,72.32,light rain,10.75,-11.1167,Hotel Tinkisso
378,Ruidoso,US,79.95,clear sky,33.3317,-105.67299999999999,Inn of the Mountain Gods
379,Quang Ngai,VN,81.48,overcast clouds,15.1167,108.8,Central Hotel
381,Lorengau,PG,85.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
382,Humaita,BR,86.94,broken clouds,-7.5061,-63.0208,Corrêa Hotel
385,Dzilam Gonzalez,MX,81.95,broken clouds,21.2833,-88.9333,posadas
389,Mareeba,AU,73.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
393,Samarai,PG,78.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
394,Piacabucu,BR,72.95,clear sky,-10.4056,-36.4344,Piaçabuçu News
395,Mehriz,IR,75.7,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
396,Shishou,CN,79.05,light rain,29.7226,112.419,Chuyuan Hotel
397,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
398,Luorong,CN,81.73,overcast clouds,24.4058,109.6086,荣立大酒店
402,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
403,Katsuura,JP,77.11,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
405,Alugan,PH,82.33,overcast clouds,12.2188,125.4808,JM Lodge
414,Aleksandrov Gay,RU,80.6,broken clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
415,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
418,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
419,Muroto,JP,75.24,moderate rain,33.2833,134.15,Oota Ryokan
422,Bang Saphan,TH,75.15,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
423,Paka,MY,73.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
425,Amuntai,ID,76.55,light rain,-2.4177,115.2494,Hotel Balqis
429,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
430,San Ignacio,BZ,77.14,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
435,Santa Marinella,IT,82.42,scattered clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
436,Jiaozuo,CN,77.16,moderate rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
441,Sao Gabriel Da Cachoeira,BR,73.83,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
442,Colon,PA,82.42,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
443,Jalu,LY,85.53,clear sky,29.0331,21.5482,صاحبة الفخامة
444,Ca Mau,VN,80.74,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
446,Black River,JM,86.0,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
447,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
450,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
452,Moindou,NC,73.35,clear sky,-21.6924,165.67700000000002,Gite de la RYAWA
455,Sarishabari,BD,81.63,overcast clouds,24.7333,89.8333,Bangali Telecom
457,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
462,Tougan,BF,75.76,broken clouds,13.0667,-3.0667,Hôtel SMAK
463,Berea,US,74.28,overcast clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
464,Noumea,NC,73.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
468,Waddan,LY,86.11,clear sky,29.1614,16.139,محل الشريف محمد العايب
470,Mae Ramat,TH,75.52,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
471,Manbij,SY,75.97,few clouds,36.5281,37.9549,Manbej City Hotel
472,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
479,Kokopo,PG,84.2,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
480,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
481,Mayo,US,82.35,broken clouds,38.8876,-76.5119,Resorts Resource Group International
482,Beyneu,KZ,82.29,broken clouds,45.3167,55.2,NUR
483,Havelock,US,85.05,clear sky,34.8791,-76.9013,Sherwood Motel
489,Akdepe,TM,75.29,clear sky,42.0551,59.3788,Мой дом
495,Milford,US,85.57,haze,41.2223,-73.0565,Homewood Suites by Hilton Stratford
497,Pamyat Parizhskoy Kommuny,RU,73.35,overcast clouds,56.1048,44.4952,House in the Shva Valley
498,Bubaque,GW,79.86,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
499,Castrovillari,IT,77.29,clear sky,39.8203,16.2123,AliaJazzHotel B&b- Locanda di Alia
505,Ha Giang,VN,78.4,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
508,Batticaloa,LK,78.31,overcast clouds,7.7102,81.6924,Grand Star Guest House
510,Djibo,BF,80.96,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
512,Bengkulu,ID,74.59,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
516,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
517,Tuy Hoa,VN,80.94,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
518,Sao Jose Da Coroa Grande,BR,74.75,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
522,Jizan,SA,86.94,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
526,Puerto Carreno,CO,78.03,broken clouds,6.189,-67.4859,Casa Hotel Victoria
527,Kalianget,ID,80.82,clear sky,-7.05,113.9333,Pesanggrahan Garam
529,Tabou,CI,77.54,overcast clouds,4.423,-7.3528,hotêl doufoulougou
532,Vanimo,PG,81.84,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
534,Gimli,CA,73.44,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
536,Tirat Karmel,IL,79.95,clear sky,32.7617,34.9719,Marom Hotel Haifa מלון מרום
538,Asyut,EG,82.58,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
540,Yanam,IN,81.73,overcast clouds,16.7333,82.2167,The Regency Hotel
542,Gorontalo,ID,79.7,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
548,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
553,Takoradi,GH,75.94,broken clouds,4.8845,-1.7554,Raybow International Hotel
554,Ibra,OM,85.14,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
555,Santa Rosa,PH,81.86,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
556,Kapuskasing,CA,77.09,haze,49.4169,-82.4331,Park Inn Motel
562,Raton,US,82.06,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
563,Male,MV,82.35,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
564,Nantucket,US,77.11,fog,41.2835,-70.0995,Jared Coffin House
566,Seohara,IN,80.08,overcast clouds,29.2167,78.5833,Virendra Chat Bhandar
570,Thunder Bay,CA,78.71,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
571,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
578,Cortez,US,86.76,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
580,Arroyo,ES,77.14,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
582,Gilgit,PK,77.5,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
584,Kalmunai,LK,77.83,overcast clouds,7.4167,81.8167,VS Villa
586,Auki,SB,77.23,moderate rain,-8.7676,160.7034,Auki Motel
591,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
597,La Asuncion,VE,73.13,broken clouds,11.0333,-63.8628,Colinas de Matasiete
600,Daru,PG,78.76,overcast clouds,-9.0763,143.2092,Daru Lodge
602,Luganville,VU,76.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
606,Amahai,ID,80.2,few clouds,-3.3333,128.9167,HOTEL ISABELA
608,Statesville,US,83.8,clear sky,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
612,Ito,JP,75.94,moderate rain,34.9667,139.0833,伊東小涌園
613,Athmallik,IN,78.55,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
616,Lazaro Cardenas,MX,83.23,few clouds,17.9583,-102.2,quinta antigua
618,Sabya,SA,87.42,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
619,Booue,GA,74.43,light rain,-0.0921,11.9385,Splendeur de l'équateur
620,Kita,ML,74.05,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
625,Kavaratti,IN,81.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
626,Langsa,ID,74.07,heavy intensity rain,4.4683,97.9683,OYO 2964 Hotel Ridho
630,Progreso,MX,77.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
631,Shache,CN,74.48,few clouds,38.4167,77.2406,Delong Hotel
633,Bardiyah,LY,79.88,clear sky,31.7561,25.0865,بورتو بردية
636,Little Chute,US,84.42,scattered clouds,44.28,-88.3184,Hilton Garden Inn Appleton/Kimberly
639,Kathu,TH,76.82,light rain,7.9178,98.3332,Novotel Phuket Resort
640,Axim,GH,76.24,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
643,Pedernales,DO,80.53,overcast clouds,18.0384,-71.744,Hotel Costa Marina
645,Samana,DO,76.96,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
646,Bemidji,US,80.19,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
647,Lagoa,PT,72.09,clear sky,39.05,-27.9833,Casa Das Faias
649,Romanovskaya,RU,74.35,scattered clouds,47.5426,42.0285,Donskaya Volna
651,Ravar,IR,80.29,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
652,Dharangaon,IN,76.06,overcast clouds,21.0167,75.2667,मंथन
653,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
656,Saraza,PH,82.45,broken clouds,8.7356,117.78,Farmqo Beach (Matangkay)
657,Clearwater,US,87.1,moderate rain,27.9659,-82.8001,Shephard's Beach Resort
658,Baracoa,CU,80.51,few clouds,20.3467,-74.4958,Hostal Rio Miel
659,Princeton,US,87.01,scattered clouds,25.5384,-80.4089,American Best Inn
661,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
662,Kulhudhuffushi,MV,82.35,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
663,Sirajganj,BD,82.94,overcast clouds,24.45,89.7167,Sourav talukder
664,Jieshi,CN,82.76,overcast clouds,22.8134,115.8257,Yuehai Hotel
668,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
669,Oranjestad,AW,84.15,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
670,Maumere,ID,81.41,scattered clouds,-8.6199,122.2111,Sylvia Hotel
671,Nizwa,OM,87.76,clear sky,22.9333,57.5333,Orient Apartments
